grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Noturno,1045.1,3,3,4,3,13905511716103,Engenharia Civil,Nova Porteirinha,MG,MzEwMjAwNDQ1MDU5,Faculdade Vale do Gorutuba - FAVAG,FACULDADE VALE DO GORUTUBA - Centro,139055,Engenharia Civil,596.8,591.02,580.08,546.02
Bacharelado,Noturno,1045.0,2,1,,6,107111613104573,Fisioterapia,Sao Luis,MA,MjEwMTAwMjExMzAw,Faculdade de Ciências e Saúde Edufor - EDUFOR,CAMPUS PRINCIPAL - João Paulo,1071116,Fisioterapia,658.82,577.76,556.56,
Bacharelado,Matutino,1045.0,2,1,,2,107111613104621,Enfermagem,Sao Luis,MA,MjEwMTAwMjExMzAw,Faculdade de Ciências e Saúde Edufor - EDUFOR,CAMPUS PRINCIPAL - João Paulo,1071116,Enfermagem,627.16,606.68,531.96,
Bacharelado,Noturno,1045.0,3,3,,,6580291132103,Agronomia,Paracatu,MG,MzEwMTAwMjQ3MDA2,Faculdade do Noroeste de Minas - FINOM,SEDE - Fazendinha,658029,Agronomia,604.74,576.9,,
Bacharelado,Noturno,1045.0,1,1,,,2503558403,Farmácia,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Anhembi Morumbi - UAM,CAMPUS MOOCA - Brás,2503,Farmácia,657.48,629.54,,
Bacharelado,Vespertino,1045.0,0,1,,,2508982082,Design Gráfico,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Anhembi Morumbi - UAM,CAMPUS MORUMBI - Morumbi,2508,Design Gráfico,676.74,,,
Bacharelado,Noturno,1044.44,,,,15,65886812611003,Arquitetura e Urbanismo,Muriae,MG,MzExMjA2MzQzOTA2,Centro Universitário Faminas - Unifaminas - UNIFAMINAS,CAMPUS UNIVERSITÁRIO - Universitário,658868,Arquitetura e Urbanismo,,,589.72,
Bacharelado,Matutino,1044.0,,,,60,4223920381,Psicologia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Psicologia,,,472.66,
Bacharelado,Matutino,1044.0,,,,40,4223908001,Fisioterapia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Fisioterapia,,,481.56,
Bacharelado,Matutino,1044.0,,,2,30,4223909471,Enfermagem,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Enfermagem,,,503.9,555.74
Bacharelado,Vespertino,1044.0,,,4,36,4223509562,Engenharia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Engenharia,,,450.0,450.0
Bacharelado,Noturno,1044.0,,,5,26,4223509563,Engenharia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Engenharia,,,450.0,450.0
Bacharelado,Vespertino,1044.0,1,,4,41,4223509572,Engenharia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Engenharia,628.12,,450.0,450.0
Bacharelado,Noturno,1044.0,,,2,40,4223509573,Engenharia,Camacari,BA,MjkwNTAyMTA1NzAx,Faculdade Metropolitana de Camaçari - FAMEC,UNIDADE II - Ponto Certo,4223,Engenharia,,,450.0,450.0
Bacharelado,Noturno,1044.0,2,1,,22,106845112864513,Administração,Divinopolis,MG,MzEwOTA0MzIyMzA2,Faculdade Una de Divinópolis - Una Divinopolis,SEDE - Centro,1068451,Administração,609.76,604.14,540.7,
Bacharelado,Noturno,1044.0,2,1,,16,106845112864533,Arquitetura e Urbanismo,Divinopolis,MG,MzEwOTA0MzIyMzA2,Faculdade Una de Divinópolis - Una Divinopolis,SEDE - Centro,1068451,Arquitetura e Urbanismo,659.52,596.22,574.92,
Bacharelado,Noturno,1044.0,1,,,,657869622503,Design,Campo Grande,MS,NTAwMjAwNDAyNzA0,Universidade Católica Dom Bosco - UCDB,CAMPO GRANDE - Jardim Seminário,657869,Design,589.48,,,
Bacharelado,Noturno,1043.99,3,3,,,657994989393,Administração,Varginha,MG,MzExMDA1MDcwNzAx,Faculdade Cnec Varginha,FACULDADE CENECISTA DE VARGINHA - Vila Bueno,657994,Administração,643.54,595.56,,
Bacharelado,Noturno,1043.99,2,1,,,657994149313,Ciências Contábeis,Varginha,MG,MzExMDA1MDcwNzAx,Faculdade Cnec Varginha,FACULDADE CENECISTA DE VARGINHA - Vila Bueno,657994,Ciências Contábeis,640.48,599.2,,
